fecha,global_peak,event,sil_0,sil_10,sil_20,sil_30,sil_40,sil_50,sil_accumulated_0,sil_accumulated_10,sil_accumulated_20,sil_accumulated_30,sil_accumulated_40,sil_accumulated_50
2021-06-19 02:30:00,0.5053,False,0.0,0.0,0.0,0.4,0.2,0.0,0.6,0.6,0.6,0.6,0.2,0.0
2021-07-15 02:50:00,1.2547,False,0.8,3.4,6.2,0.4,0.0,0.2,11.0,10.2,6.8,0.6,0.2,0.2
2021-07-27 01:10:00,0.4406,False,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2021-08-25 01:40:00,0.5228,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-08 10:00:00,0.6944,False,0.2,0.2,0.8,0.6,1.0,0.6,3.4,3.2,3.0,2.2,1.6,0.6
2021-09-13 22:10:00,0.8382,False,0.2,6.0,0.4,0.0,0.0,0.0,6.6,6.4,0.4,0.0,0.0,0.0
2021-09-14 06:20:00,0.4048,False,0.2,0.8,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0
2021-10-01 02:50:00,0.5424,False,1.4,0.6,0.4,0.0,0.0,1.2,3.6,2.2,1.6,1.2,1.2,1.2
2021-10-01 23:40:00,0.62,False,0.0,0.2,0.0,0.0,0.2,0.2,0.6,0.6,0.4,0.4,0.4,0.2
2021-10-02 11:30:00,0.4234,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03 09:00:00,0.6181,False,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.4,0.4,0.4,0.2,0.2
2021-10-04 06:00:00,0.4102,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-06 14:20:00,0.46,False,0.0,0.0,0.2,0.0,0.0,1.0,1.2,1.2,1.2,1.0,1.0,1.0
2021-10-09 07:10:00,0.8455,False,1.0,1.0,0.6,0.6,1.4,1.2,5.8,4.8,3.8,3.2,2.6,1.2
2021-10-13 20:10:00,2.2594,True,1.8,11.4,8.8,3.8,0.2,0.0,26.0,24.2,12.8,4.0,0.2,0.0
2021-10-15 04:10:00,1.1414,False,0.6,1.2,1.8,1.8,1.6,0.2,7.2,6.6,5.4,3.6,1.8,0.2
2021-10-23 14:50:00,1.1076,False,0.0,0.0,0.0,0.4,4.6,2.8,7.8,7.8,7.8,7.8,7.4,2.8
2021-11-05 21:30:00,0.9212,False,0.0,0.0,0.0,0.0,3.0,0.8,3.8,3.8,3.8,3.8,3.8,0.8
2021-11-10 11:10:00,0.3625,False,0.0,1.0,3.0,4.8,1.0,0.4,10.2,10.2,9.2,6.2,1.4,0.4
2021-11-14 13:40:00,1.1417,False,0.8,1.0,1.0,1.0,2.4,2.6,8.8,8.0,7.0,6.0,5.0,2.6
2021-11-16 17:00:00,0.8386,False,2.2,1.2,1.2,0.2,0.2,1.0,6.0,3.8,2.6,1.4,1.2,1.0
2021-11-17 00:20:00,0.8326,False,0.2,0.2,0.0,0.2,0.0,1.0,1.6,1.4,1.2,1.2,1.0,1.0
2021-11-17 15:10:00,0.4552,False,0.0,0.0,0.0,0.4,0.8,0.4,1.6,1.6,1.6,1.6,1.2,0.4
2021-11-18 06:20:00,0.6321,False,0.0,0.0,0.0,0.0,0.4,0.6,1.0,1.0,1.0,1.0,1.0,0.6
2021-11-25 13:50:00,1.7471,False,0.4,5.0,9.4,0.2,0.0,0.0,15.0,14.6,9.6,0.2,0.0,0.0
2021-11-28 10:40:00,1.4385,False,3.2,3.6,11.2,0.2,0.0,0.0,18.2,15.0,11.4,0.2,0.0,0.0
2021-12-12 16:30:00,1.0311,False,0.0,0.0,0.0,0.2,0.0,2.2,2.4,2.4,2.4,2.4,2.2,2.2
2021-12-13 07:30:00,0.947,False,0.4,0.6,0.4,0.6,0.8,0.4,3.2,2.8,2.2,1.8,1.2,0.4
2021-12-30 16:00:00,1.5705,False,0.2,4.2,6.0,2.0,0.0,0.0,12.4,12.2,8.0,2.0,0.0,0.0
2022-01-03 05:30:00,1.023,False,0.0,0.0,0.0,0.4,1.2,1.0,2.6,2.6,2.6,2.6,2.2,1.0
2022-01-03 09:50:00,0.669,False,2.6,0.2,0.0,0.2,0.8,2.8,6.6,4.0,3.8,3.8,3.6,2.8
2022-01-09 15:40:00,0.3897,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-26 18:00:00,0.8376,False,0.0,0.0,0.2,0.0,0.0,0.2,0.4,0.4,0.4,0.2,0.2,0.2
2022-01-27 13:30:00,1.133,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 17:00:00,1.3038,False,4.4,7.2,8.8,2.2,0.0,0.0,22.6,18.2,11.0,2.2,0.0,0.0
2022-02-04 17:40:00,2.4215,True,0.8,3.8,4.2,0.0,0.0,0.0,8.8,8.0,4.2,0.0,0.0,0.0
2022-02-05 00:10:00,0.357,False,0.6,0.4,0.4,0.2,0.2,0.0,1.8,1.2,0.8,0.4,0.2,0.0
2022-02-21 14:50:00,1.18,False,1.4,1.2,0.2,2.0,0.8,0.8,6.4,5.0,3.8,3.6,1.6,0.8
2022-02-28 17:10:00,0.8941,False,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
2022-03-01 07:40:00,0.9242,False,3.4,4.8,2.6,0.2,0.2,0.2,11.4,8.0,3.2,0.6,0.4,0.2
2022-03-02 19:00:00,1.1733,False,0.0,0.0,0.4,1.0,0.6,0.2,2.2,2.2,2.2,1.8,0.8,0.2
2022-03-09 22:30:00,0.5225,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-10 18:40:00,0.7175,False,0.0,0.4,0.0,0.4,0.2,0.8,1.8,1.8,1.4,1.4,1.0,0.8
2022-03-10 21:20:00,2.521,True,13.4,12.8,2.2,0.0,0.0,0.0,28.4,15.0,2.2,0.0,0.0,0.0
2022-03-11 02:30:00,1.2455,False,2.2,2.2,4.0,0.0,0.6,1.2,10.2,8.0,5.8,1.8,1.8,1.2
2022-03-11 11:40:00,0.3369,False,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0
2022-03-11 13:50:00,0.349,False,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2022-03-18 17:20:00,1.505,False,2.6,5.0,4.6,1.2,0.0,0.0,13.4,10.8,5.8,1.2,0.0,0.0
2022-03-22 18:10:00,3.705,True,25.8,17.6,0.0,0.4,2.0,0.2,46.0,20.2,2.6,2.6,2.2,0.2
2022-03-23 07:00:00,3.746,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-24 21:30:00,1.118,False,0.0,0.2,0.4,1.8,2.0,0.2,4.6,4.6,4.4,4.0,2.2,0.2
2022-03-30 07:40:00,2.402,True,8.4,9.6,5.0,2.6,0.0,0.0,25.6,17.2,7.6,2.6,0.0,0.0
2022-04-04 00:30:00,2.38,True,0.0,0.2,3.2,3.8,0.0,0.0,7.2,7.2,7.0,3.8,0.0,0.0
2022-04-05 08:40:00,1.647,False,1.2,0.6,0.4,0.0,0.2,0.4,2.8,1.6,1.0,0.6,0.6,0.4
2022-04-05 15:40:00,0.701,False,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4
2022-04-11 16:10:00,3.101,True,0.4,6.2,3.2,0.0,0.0,0.0,9.8,9.4,3.2,0.0,0.0,0.0
2022-04-21 07:40:00,3.057,True,14.4,15.2,10.8,0.2,0.0,0.0,40.6,26.2,11.0,0.2,0.0,0.0
2022-04-28 14:20:00,0.783,False,0.0,0.0,2.4,0.2,7.2,0.0,9.8,9.8,9.8,7.4,7.2,0.0
